一定没有问题的！,未知,魔卡少女樱
停下脚步才注意到 世界被染得雪白。,A39＆沙包P＆初音ミク,雪降り、メリクリ
我们登上并非我们所选择的舞台，演出并非我们所选择的剧本。,爱比克泰德,Enchiridion
每个人的心里，都有一个忘不记，却无法拥抱珍惜的人。,未知,热评
反正不要钱，多少信一点,未知,异常生物见闻录
你的故事很长，如果能由我来收尾就好了。,未知,乱世流年
知识有两种，一种是你知道的，一种是你知道在哪里能找到的！,未知,塞缪尔·约翰逊
因为痛苦太有价值，因为回忆太珍贵，所以我们更要继续往前走。,未知,五月天
你能预见，你能准备，你能承受，那你也能胜过不幸。,未知,《明日方舟》
相互间的抚慰根本没必要只要你还存在着就足够,未知,原创
做一杯奶茶，去去不到的地方给想见的人！,安麻殿,我的奶茶屋
不经一番寒彻骨，怎得梅花扑鼻香。,黄蘖禅师,上堂开示颂
我们的哀伤和年龄是没有关系的。,未知,樱桃小丸子
世事变幻无常，而近乎永恒不变者，唯你我头上的同一片星空。,未知,万国志
纵使疾风起，皇族不言弃。,未知,Royal Never GIve Up
"举手长劳劳,二情同依依.",未知,孔雀东南飞
"斜晖脉脉水悠悠,肠断白频洲.",温庭筠,望江南
谎话被歌颂，扮清醒的人作哑装聋。,南语,不痛
我想你一定很想知道，你昏迷了多长时间……,未知,少女前线
你知道什么叫幸福嘛？幸福就是拍拍手。,我是皮皮参,哔哩哔哩
生生生生暗生始，死死死死冥死终。,未知,东方永夜抄
我们把世界看错，反说它欺骗了我们。,泰戈尔,飞鸟集
如果……不是因为我的缘故……或许大家都不会出事吧……,未知,曼殊华
"说时依旧,有泪如倾",三毛,说时依旧
岁寒，然后知松柏之后凋也。,未知,论语
愿风指引着你的道路，愿你的刀刃永远锋利。,未知,魔兽世界
成熟的人眼里满是前途，稚嫩的人眼里满是爱恨情仇。,未知,网易云热评
造物无言却有情，每于寒尽觉春生。,张维屏,新雷
因为无能为力，所以顺其自然。因为心无所恃，所以随遇而安。,未知,未知
祸兮福之所倚，福兮祸之所伏。,未知,鵩鸟赋
